start,end
15:05:45,15:06:00
15:07:15,15:07:50
15:08:28,15:08:53
15:09:33,15:09:43
15:09:53,15:10:40
15:12:05,15:12:30
15:13:27,15:13:32
15:13:46,15:14:07
15:14:16,15:14:17
15:14:42,15:14:50
15:16:10,15:16:15
15:31:25,15:31:45
15:31:55,15:32:03
15:32:13,15:32:20
15:32:40,15:32:53
15:34:08,15:34:18
15:34:43,15:35:23
15:35:57,15:36:13
15:37:03,15:37:36
15:38:10,15:38:10
15:38:27,15:39:07
15:40:02,15:40:12
15:40:42,15:41:12
15:42:16,15:42:37
15:43:27,15:43:37
15:46:33,15:47:33
15:47:58,15:50:40
15:50:56,15:52:41
15:53:01,15:56:13
