start,end
00:22:17,00:22:32
00:23:47,00:24:22
00:25:00,00:25:25
00:26:05,00:26:15
00:26:25,00:27:12
00:28:37,00:29:02
00:29:59,00:30:04
00:30:18,00:30:39
00:30:48,00:30:49
00:31:14,00:31:22
00:32:42,00:32:47
00:47:57,00:48:17
00:48:27,00:48:35
00:48:45,00:48:52
00:49:12,00:49:25
00:50:40,00:50:50
00:51:15,00:51:55
00:52:29,00:52:45
00:53:35,00:54:08
00:54:42,00:54:42
00:54:59,00:55:39
00:56:34,00:56:44
00:57:14,00:57:44
00:58:48,00:59:09
00:59:59,01:00:09
01:03:05,01:04:05
01:04:30,01:07:12
01:07:28,01:09:13
01:09:33,01:12:45
