task,file,start,end
1,1.py,07-27,08-02
1,1.py,09-12,10-18
1,1.py,10-18,10-48
1,1.py,10-58,11-03
1,2.py,13-48,14-18
1,2.py,14-34,15-19
1,2.py,15-49,16-19
1,2.py,16-19,16-34
1,2.py,16-44,17-24
1,3.py,17-54,18-19
1,3.py,18-44,19-19
1,4.py,20-59,21-14
1,4.py,22-02,22-17
2,1.py,24-27,24-42
2,1.py,25-47,26-07
2,2.c,27-27,28-02
2,2.c,28-45,29-05
2,2.c,29-06,29-25
2,2.c,29-36,30-36
2,3.py,32-41,32-51
2,3.py,33-41,33-56
2,4.c,35-51,35-06
2,4.c,36-21,36-46
2,4.c,36-46,37-26
2,4.c,37-41,38-01
2,4.c,38-16,38-26
2,4.c,38-46,39-46
