participant,task,file,start,end
1,1,1.py,00:04:09,00:04:25
1,1,1.py,00:04:34,00:05:08
1,1,1.py,00:05:12,00:05:25
1,1,1.py,00:05:41,00:06:33
1,1,2.py,00:07:14,00:07:16
1,1,2.py,00:08:09,00:08:39
1,1,2.py,00:09:11,00:09:57
1,1,3.py,00:10:26,00:10:28
1,1,3.py,00:11:24,00:11:37
1,1,3.py,00:11:45,00:12:09
1,1,4.py,00:12:15,00:12:17
1,1,4.py,00:14:13,00:14:38
1,1,4.py,00:15:03,00:15:22
1,2,1.py,00:19:11,00:19:35
1,2,1.py,00:20:51,00:21:39
1,2,2.c,00:21:53,00:21:55
1,2,2.c,00:23:33,00:23:44
1,2,3.py,00:23:51,00:23:54
1,2,3.py,00:25:21,00:25:31
1,2,3.py,00:26:01,00:26:16
1,2,3.py,00:26:36,00:27:26
1,2,4.c,00:30:56,00:31:21
1,2,4.c,00:31:22,00:31:25
1,2,4.c,00:31:46,00:32:26
2,1,1.py,00:04:51,00:05:25
2,1,1.py,00:06:14,00:08:20
2,1,2.py,00:09:26,00:10:15
2,1,2.py,00:10:47,00:12:05
2,1,2.py,00:12:19,00:12:21
2,1,3.py,00:13:31,00:14:13
2,1,3.py,00:14:40,00:15:00
2,1,3.py,00:15:30,00:15:33
2,1,3.py,00:16:42,00:18:31
2,2,1.py,00:20:55,00:21:05
2,2,1.py,00:20:43,00:22:25
2,2,1.py,00:24:03,00:24:11
2,2,2.c,00:25:22,00:26:08
2,2,3.py,00:27:22,00:27:28
2,2,3.py,00:27:51,00:28:34
2,2,3.py,00:29:00,00:29:07
2,2,4.c,00:30:45,00:31:00
2,2,4.c,00:31:26,00:32:17
2,2,4.c,00:33:29,00:33:35
2,2,4.c,00:34:20,00:34:45
3,1,1.py,00:02:17,00:02:39
3,1,2.py,00:06:40,00:07:10
3,1,2.py,00:07:50,00:08:18
3,1,2.py,00:08:33,00:08:58
3,1,2.py,00:09:51,00:10:09
3,1,2.py,00:10:22,00:10:26
3,1,3.py,00:12:02,00:12:35
3,1,2.py,00:13:00,00:13:04
3,1,4.py,00:14:10,00:14:45
3,1,4.py,00:15:02,00:15:27
3,2,1.py,00:17:43,00:18:05
3,2,1.py,00:18:22,00:18:43
3,2,2.c,00:20:13,00:20:27
3,2,2.c,00:20:28,00:20:41
3,2,2.c,00:21:01,00:21:04
3,2,2.c,00:21:20,00:21:22
3,2,2.c,00:21:41,00:22:04
3,2,3.py,00:24:36,00:24:51
3,2,4.c,00:26:48,00:26:51
3,2,4.c,00:27:52,00:27:55
3,2,4.c,00:28:04,00:28:17
4,1,1.py,00:28:39,00:28:55
4,1,1.py,00:28:57,00:29:06
4,1,1.py,00:29:09,00:29:59
4,1,1.py,00:30:15,00:30:17
4,1,1.py,00:30:45,00:31:18
4,1,2.py,00:31:48,00:32:46
4,1,3.py,00:34:27,00:35:06
4,1,3.py,00:35:18,00:35:25
4,1,3.py,00:35:29,00:36:08
4,1,4.py,00:39:00,00:39:07
4,1,4.py,00:39:16,00:39:23
4,1,4.py,00:39:53,00:40:03
4,1,4.py,00:40:21,00:40:28
4,1,4.py,00:41:19,00:41:30
4,2,1.py,00:43:28,00:43:30
4,2,1.py,00:43:36,00:43:45
4,2,1.py,00:44:35,00:45:03
4,2,2.c,00:45:57,00:46:31
4,2,2.c,00:46:34,00:46:48
4,2,2.c,00:47:05,00:47:16
4,2,2.c,00:47:20,00:47:58
4,2,3.py,00:48:30,00:48:36
4,2,3.py,00:49:59,00:50:18
4,2,2.c,00:51:04,00:51:11
4,2,4.c,00:52:55,00:53:20
4,2,4.c,00:53:38,00:53:51
5,1,1.py,00:00:54,00:01:24
5,1,1.py,00:03:17,00:04:04
5,1,2.py,00:04:47,00:05:21
5,1,2.py,00:06:05,00:06:33
5,1,4.py,00:10:20,00:10:47
5,2,1.py,00:17:01,00:17:17
5,2,1.py,00:17:37,00:17:47
5,2,2.c,00:18:42,00:18:49
5,2,2.c,00:20:12,00:20:30
5,2,2.c,00:21:56,00:22:18
5,2,3.py,00:23:06,00:23:16
5,2,3.py,00:23:23,00:23:26
5,2,3.py,00:25:13,00:25:14
5,2,3.py,00:25:56,00:26:15
5,2,3.py,00:26:30,00:26:40
5,2,3.py,00:26:30,00:26:42
5,2,3.py,00:27:31,00:28:00
5,2,3.py,00:28:17,00:28:39
5,2,4.c,00:29:42,00:30:16
5,2,4.c,00:30:44,00:31:05
6,1,1.py,00:00:16,00:00:20
6,1,1.py,00:00:38,00:00:47
6,1,1.py,00:01:04,00:01:07
6,1,1.py,00:01:14,00:01:35
6,1,2.py,00:03:38,00:03:50
6,1,2.py,00:04:05,00:04:10
6,1,3.py,00:06:06,00:06:11
6,1,4.py,00:07:04,00:07:13
6,2,1.py,00:13:36,00:13:45
6,2,1.py,00:13:54,00:14:04
6,2,2.c,00:15:55,00:16:16
6,2,3.py,00:18:30,00:18:43
6,2,4.c,00:22:12,00:22:20
7,1,1.py,00:00:48,00:01:11
7,1,1.py,00:02:16,00:02:51
7,1,2.py,00:03:18,00:03:32
7,1,2.py,00:04:58,00:05:50
7,1,3.py,00:06:48,00:07:10
7,1,3.py,00:09:03,00:09:24
7,1,4.py,00:10:26,00:10:49
7,1,4.py,00:13:16,00:14:00
7,2,1.py,00:21:02,00:21:24
7,2,1.py,00:23:05,00:23:21
7,2,2.c,00:24:23,00:24:48
7,2,2.c,00:25:02,00:25:14
7,2,2.c,00:25:14,00:25:19
7,2,3.py,00:26:10,00:26:17
7,2,3.py,00:28:38,00:28:49
7,2,4.c,00:29:16,00:29:28
7,2,4.c,00:32:37,00:33:17
7,2,4.c,00:33:36,00:33:56
8,1,1.py,00:04:10,00:04:17
8,1,1.py,00:05:18,00:05:30
8,1,1.py,00:05:37,00:06:12
8,1,2.py,00:07:15,00:07:30
8,1,3.py,00:10:25,00:10:53
8,1,3.py,00:11:53,00:12:15
8,1,4.py,00:14:00,00:14:19
8,2,1.py,00:19:42,00:19:55
8,2,1.py,00:20:10,00:20:21
8,2,2.c,00:22:40,00:24:23
8,2,2.c,00:24:58,00:25:38
8,2,3.py,00:30:46,00:31:01
10,1,1.py ,00:01:06,00:01:34
10,1,1.py ,00:01:40,00:02:50
10,1,1.py ,00:03:10,00:04:45
10,1,2.py,00:07:00,00:07:35
10,1,2.py,00:07:55,00:08:17
10,1,2.py,00:08:27,00:08:57
10,1,2.py,00:09:32,00:09:57
10,1,3.py,00:11:27,00:12:27
10,1,4.py,00:13:13,00:13:57
10,2,1.py,00:18:07,00:18:47
10,2,1.py,00:19:37,00:20:02
10,2,1.py,00:21:02,00:21:21
10,2,2.c,00:22:07,00:22:37
10,2,2.c,00:24:17,00:24:52
10,2,2.c,00:25:02,00:25:22
10,2,3.c,00:25:57,00:26:22
10,2,3.c,00:27:57,00:28:22
10,2,4.py,00:29:10,00:29:25
10,2,4.py,00:29:35,00:30:50
12,1,1.py,00:09:59,00:10:09
12,1,1.py,00:10:34,00:11:54
12,1,1.py,00:11:59,00:12:19
12,1,2.py,00:13:24,00:13:39
12,1,2.py,00:14:39,00:14:54
12,1,3.py,00:15:54,00:16:04
12,1,3.py,00:16:59,00:17:09
12,1,4.py,00:19:04,00:19:19
12,1,4.py,00:21:09,00:21:24
12,1,4.py,00:21:59,00:22:14
12,2,1.py,00:25:51,00:26:01
12,2,2.c,00:30:41,00:31:01
12,2,3.py,00:33:31,00:33:46
12,2,3.py,00:34:06,00:34:31
12,2,3.py,00:36:11,00:36:26
13,1,1.py,00:07:27,00:08:02
13,1,1.py,00:09:12,00:10:18
13,1,1.py,00:10:18,00:10:48
13,1,1.py,00:10:58,00:11:03
13,1,2.py,00:13:48,00:14:18
13,1,2.py,00:14:34,00:15:19
13,1,2.py,00:15:49,00:16:19
13,1,2.py,00:16:19,00:16:34
13,1,2.py,00:16:44,00:17:24
13,1,3.py,00:17:54,00:18:19
13,1,3.py,00:18:44,00:19:19
13,1,4.py,00:20:59,00:21:14
13,1,4.py,00:22:02,00:22:17
13,2,1.py,00:24:27,00:24:42
13,2,1.py,00:25:47,00:26:07
13,2,2.c,00:27:27,00:28:02
13,2,2.c,00:28:45,00:29:05
13,2,2.c,00:29:06,00:29:25
13,2,2.c,00:29:36,00:30:36
13,2,3.py,00:32:41,00:32:51
13,2,3.py,00:33:41,00:33:56
13,2,4.c,00:35:51,00:35:06
13,2,4.c,00:36:21,00:36:46
13,2,4.c,00:36:46,00:37:26
13,2,4.c,00:37:41,00:38:01
13,2,4.c,00:38:16,00:38:26
13,2,4.c,00:38:46,00:39:46
14,1,1.py,00:13:43,00:14:33
14,1,1.py,00:14:38,00:15:03
14,1,2.py,00:17:18,00:17:43
14,1,3.py,00:19:13,00:19:48
14,1,3.py,00:19:58,00:20:18
