,,,
Subject 1,Column 1,Column 2,Column 3
Task,File,Start TIme (minutes),End Time (minutes)
1,1.py,04-09,04:25
1,1.py,04:34,05:08
1,1.py,05:12,05:25
1,1.py,05:41,06:33
1,2.py,07:14,07:16
1,2.py,08:09,08:39
1,2.py,09:11,09:57
1,3.py,10:26,10:28
1,3.py,11:24,11:37
1,3.py,11:45,12:09
1,4.py,12:15,12:17
1,4.py,14:13,14:38
1,4.py,15:03,15:22
2,1.py,19:11,19:35
2,1.py,20:51,21:39
2,2.c,21:53,21:55
2,2.c,23:33,23:44
2,3.py,23:51,23:54
2,3.py,25:21,25:31
2,3.py,26:01,26:16
2,3.py,26:36,27:26
2,4.c,30:56,31:21
2,4.c,31:22,31:25
2,4.c,31:46,32:26
,,,
Subject 2,Column 1,Column 2,Column 3
Task,File,Start Time (minutes),End Time (minutes)
1,1.py,04:51,05:25
1,1.py,06:14,08:20
1,2.py,09:26,10:15
1,2.py,10:47,12:05
1,2.py,12:19,12:21
1,3.py,13:31,14:13
1,3.py,14:40,15:00
1,3.py,15:30,15:33
1,3.py,16:42,18:31
1,4.py,,
2,1.py,20:55,21:05
2,1.py,20:43,22:25
2,1.py,24:03,24:11
2,2.c,25:22,26:08
2,3.py,27:22,27:28
2,3.py,27:51,28:34
2,3.py,29:00,29:07
2,4.c,30:45,31:00
2,4.c,31:26,32:17
2,4.c,33:29,33:35
2,4.c,34:20,34:45
,,,
,,,
,,,
Subject 3,Column 1,Column 2,Column 3
Task,File,Start Time (minutes),End Time (minutes)
1,1.py,02:17,02:39
1,2.py,06:40,07:10
1,2.py,07:50,08:18
1,2.py,08:33,08:58
1,2.py,09:51,10:09
1,2.py,10:22,10:26
1,3.py,12:02,12:35
1,2.py,13:00,13:04
1,4.py,14:10,14:45
1,4.py,15:02,15:27
2,1.py,17:43,18:05
2,1.py,18:22,18:43
2,2.c,20:13,20:27
2,2.c,20:28,20:41
2,2.c,21:01,21:04
2,2.c,21:20,21:22
2,2.c,21:41,22:04
2,3.py,24:36,24:51
2,4.c,26:48,26:51
2,4.c,27:52,27:55
2,4.c,28:04,28:17
,,,
,,,
,,,
,,,
Subject 4,Column 1,Column 2,Column 3
Task,File,Start Time (minutes),End Time (minutes)
1,1.py,28:39,28:55
1,1.py,28:57,29:06
1,1.py,29:09,29:59
1,1.py,30:15,30:17
1,1.py,30:45,31:18
1,2.py,31:48,32:46
1,3.py,34:27,35:06
1,3.py,35:18,35:25
1,3.py,35:29,36:08
1,4.py,39:00,39:07
1,4.py,39:16,39:23
1,4.py,39:53,40:03
1,4.py,40:21,40:28
1,4.py,41:19,41:30
2,1.py,43:28,43:30
2,1.py,43:36,43:45
2,1.py,44:35,45:03
2,2.c,45:57,46:31
2,2.c,46:34,46:48
2,2.c,47:05,47:16
2,2.c,47:20,47:58
2,3.py,48:30,48:36
