participant,task,file,start,end
16,1,1.py,12:19,12:45
16,1,1.py,13:25,13:55
16,1,1.py,14:20,14:25
16,1,3.py,19:35,19:35
16,1,3.py,20:02,20:17
16,1,3.py,21:05,21:30
16,1,4.py,22:55,23:02
16,1,4.py,23:27,23:27
16,2,1.py,30:27,30:32
16,2,2.c,33:02,34:27
16,2,3.py,35:02,35:17
16,2,3.py,36:17,36:32
16,2,4.c,39:27,40:07
16,2,4.c,40:27,40:32
16,3,1.py,45:49,49:34
16,3,2.txt,49:53,52:48
16,3,3.py,53:14,55:32
16,3,4.txt,55:49,00:14
17,1,1.py,22:17,22:32
17,1,2.py,23:47,24:22
17,1,2.py,25:00,25:25
17,1,3.py,26:05,26:15
17,1,3.py,26:25,27:12
17,1,4.py,28:37,29:02
17,1,4.py,29:59,30:04
17,1,4.py,30:18,30:39
17,1,4.py,30:48,30:49
17,1,4.py,31:14,31:22
17,1,4.py,32:42,32:47
17,2,1.py,47:57,48:17
17,2,1.py,48:27,48:35
17,2,1.py,48:45,48:52
17,2,1.py,49:12,49:25
17,2,1.py,50:40,50:50
17,2,1.py,51:15,51:55
17,2,1.py,52:29,52:45
17,2,2.c,53:35,54:08
17,2,2.c,54:42,54:42
17,2,2.c,54:59,55:39
17,2,3.py,56:34,56:44
17,2,3.py,57:14,57:44
17,2,4.c,58:48,59:09
17,2,4.c,59:59,00:09
17,3,1.py,03:05,04:05
17,3,2.txt,04:30,07:12
17,3,3.py,07:28,09:13
17,3,4.txt,09:33,12:45
18,1,1.py,01:56,02:10
18,1,1.py,02:39,03:06
18,1,2.py,04:34,04:57
18,1,3.py,07:29,07:58
18,1,3.py,09:30,10:07
18,1,4.py,10:52,11:34
18,2,1.py,13:50,14:03
18,2,1.py,14:07,14:32
18,2,1.py,16:19,16:58
18,2,1.py,17:07,17:26
18,2,2.c,18:50,19:52
18,2,3.py,20:16,21:05
18,2,4.c,25:24,25:58
18,3,4.txt,27:04,43:34
19,1,1.py,04:20,04:40
19,1,2.py,05:50,06:29
19,1,2.py,06:59,08:29
19,1,3.py,09:24,09:37
19,1,3.py,11:39,11:51
19,1,4.py,12:55,13:39
19,2,1.py,27:58,28:22
19,2,2.c,29:56,30:19
19,2,3.py,31:23,31:32
19,2,3.py,34:00,34:05
19,2,4.c,37:19,38:01
19,2,4.c,38:34,38:50
19,2,4.c,40:22,40:46
19,3,1.py,43:50,47:01
19,3,2.txt,47:23,51:17
19,3,3.py,51:27,54:36
20,1,1.py,05:45,05:53
20,1,1.py,06:07,06:26
20,1,1.py,07:35,07:43
20,1,1.py,08:00,08:09
20,1,2.py,08:57,09:19
20,1,2.py,09:32,09:41
20,1,2.py,09:55,10:02
20,1,2.py,10:42,10:50
20,1,3.py,12:06,12:13
20,1,4.py,13:37,13:45
20,1,4.py,14:52,15:09
20,1,4.py,15:24,15:30
20,2,1.py,16:49,16:55
20,2,1.py,17:55,17:59
20,2,1.py,18:14,18:21
20,2,2.c,19:33,19:56
20,2,3.py,22:45,22:50
20,2,3.py,23:10,23:19
20,2,4.c,24:35,24:46
20,2,4.c,25:20,25:26
20,2,4.c,25:47,25:56
20,3,1.py,27:10,29:37
20,3,2.txt,30:25,32:12
20,3,3.py,32:34,36:13
20,3,4.txt,36:32,38:43
21,1,1.py,06:02,06:35
21,1,2.py,07:38,07:59
21,1,2.py,09:03,09:14
21,1,3.py,10:32,11:00
21,1,3.py,11:12,11:17
21,1,3.py,11:43,12:22
21,1,4.py,13:52,14:03
21,1,4.py,14:47,15:29
21,1,4.py,16:48,17:53
21,2,1.py,19:50,20:21
21,2,1.py,20:47,21:00
21,2,2.c,22:53,23:14
21,2,3.py,24:19,24:26
21,2,3.py,26:08,26:20
21,2,4.c,26:57,27:24
21,2,4.c,28:20,28:58
21,2,4.c,29:32,29:48
21,3,1.py,31:33,32:51
21,3,2.txt,33:18,35:15
21,3,3.py,35:26,37:39
21,3,4.txt,37:58,39:07
22,1,1.py,01:25,01:34
22,1,1.py,02:38,02:51
22,1,2.py,04:59,08:39
22,1,2.py,09:11,09:32
22,1,3.py,11:27,11:44
22,1,3.py,15:30,15:36
22,2,1.py,21:34,21:44
22,2,1.py,21:52,21:59
22,2,2.c,22:45,22:57
22,2,2.c,23:58,24:27
22,2,2.c,24:35,24:59
22,2,3.py,25:36,26:23
22,2,3.py,26:40,26:50
22,2,3.py,27:51,27:55
22,2,3.py,28:52,28:56
22,2,3.py,29:08,29:12
22,2,3.py,30:28,31:26
22,2,4.c,32:38,33:00
22,3,1.py,37:11,40:16
22,3,2.txt,40:52,45:41
22,3,3.py,46:07,51:04
23,1,1.py,13:10,13:14
23,1,1.py,14:01,14:21
23,1,2.py,16:11,16:14
23,1,2.py,17:31,17:39
23,1,3.py,18:01,18:15
23,1,3.py,21:16,21:46
23,2,1.py,30:21,30:35
23,2,1.py,30:53,31:19
23,2,2.c,32:08,32:30
23,2,3.py,35:01,35:03
23,2,4.c,36:11,36:18
23,2,4.c,36:55,37:23
23,2,4.c,37:40,38:20
23,3,1.py,40:24,45:04
23,3,2.txt,45:26,49:41
23,3,3.py,49:55,52:53
23,3,4.txt,53:28,55:52
24,1,1.py,00:49,01:22
24,1,1.py,02:04,02:18
24,1,2.py,04:11,04:26
24,1,2.py,05:14,05:47
24,1,2.py,07:35,07:48
24,1,3.py,09:11,09:30
24,1,3.py,09:41,09:48
24,1,4.py,12:35,12:37
24,1,4.py,12:46,14:05
24,1,4.py,14:59,15:06
24,1,4.py,15:28,15:50
24,2,1.py,20:20,20:41
24,2,2.c,22:27,23:14
24,2,3.py,25:13,25:33
