start,end
"(0, 12, 19)","(0, 12, 45)"
"(0, 13, 25)","(0, 13, 55)"
"(0, 14, 20)","(0, 14, 25)"
"(0, 19, 35)","(0, 19, 35)"
"(0, 20, 2)","(0, 20, 17)"
"(0, 21, 5)","(0, 21, 30)"
"(0, 22, 55)","(0, 23, 2)"
"(0, 23, 27)","(0, 23, 27)"
"(0, 30, 27)","(0, 30, 32)"
"(0, 33, 2)","(0, 34, 27)"
"(0, 35, 2)","(0, 35, 17)"
"(0, 36, 17)","(0, 36, 32)"
"(0, 39, 27)","(0, 40, 7)"
"(0, 40, 27)","(0, 40, 32)"
"(0, 45, 49)","(0, 49, 34)"
"(0, 49, 53)","(0, 52, 48)"
"(0, 53, 14)","(0, 55, 32)"
"(0, 55, 49)","(1, 0, 14)"
"(0, 10, 39)","(0, 10, 39)"
