start,end
"(0, 22, 17)","(0, 22, 32)"
"(0, 23, 47)","(0, 24, 22)"
"(0, 25, 0)","(0, 25, 25)"
"(0, 26, 5)","(0, 26, 15)"
"(0, 26, 25)","(0, 27, 12)"
"(0, 28, 37)","(0, 29, 2)"
"(0, 29, 59)","(0, 30, 4)"
"(0, 30, 18)","(0, 30, 39)"
"(0, 30, 48)","(0, 30, 49)"
"(0, 31, 14)","(0, 31, 22)"
"(0, 32, 42)","(0, 32, 47)"
"(0, 47, 57)","(0, 48, 17)"
"(0, 48, 27)","(0, 48, 35)"
"(0, 48, 45)","(0, 48, 52)"
"(0, 49, 12)","(0, 49, 25)"
"(0, 50, 40)","(0, 50, 50)"
"(0, 51, 15)","(0, 51, 55)"
"(0, 52, 29)","(0, 52, 45)"
"(0, 53, 35)","(0, 54, 8)"
"(0, 54, 42)","(0, 54, 42)"
"(0, 54, 59)","(0, 55, 39)"
"(0, 56, 34)","(0, 56, 44)"
"(0, 57, 14)","(0, 57, 44)"
"(0, 58, 48)","(0, 59, 9)"
"(0, 59, 59)","(1, 0, 9)"
"(1, 3, 5)","(1, 4, 5)"
"(1, 4, 30)","(1, 7, 12)"
"(1, 7, 28)","(1, 9, 13)"
"(1, 9, 33)","(1, 12, 45)"
"(0, 20, 35)","(0, 20, 35)"
