start,end
"(0, 5, 45)","(0, 5, 53)"
"(0, 6, 7)","(0, 6, 26)"
"(0, 7, 35)","(0, 7, 43)"
"(0, 8, 0)","(0, 8, 9)"
"(0, 8, 57)","(0, 9, 19)"
"(0, 9, 32)","(0, 9, 41)"
"(0, 9, 55)","(0, 10, 2)"
"(0, 10, 42)","(0, 10, 50)"
"(0, 12, 6)","(0, 12, 13)"
"(0, 13, 37)","(0, 13, 45)"
"(0, 14, 52)","(0, 15, 9)"
"(0, 15, 24)","(0, 15, 30)"
"(0, 16, 49)","(0, 16, 55)"
"(0, 17, 55)","(0, 17, 59)"
"(0, 18, 14)","(0, 18, 21)"
"(0, 19, 33)","(0, 19, 56)"
"(0, 22, 45)","(0, 22, 50)"
"(0, 23, 10)","(0, 23, 19)"
"(0, 24, 35)","(0, 24, 46)"
"(0, 25, 20)","(0, 25, 26)"
"(0, 25, 47)","(0, 25, 56)"
"(0, 27, 10)","(0, 29, 37)"
"(0, 30, 25)","(0, 32, 12)"
"(0, 32, 34)","(0, 36, 13)"
"(0, 36, 32)","(0, 38, 43)"
"(0, 7, 22)","(0, 7, 22)"
