start,end
"(0, 6, 2)","(0, 6, 35)"
"(0, 7, 38)","(0, 7, 59)"
"(0, 9, 3)","(0, 9, 14)"
"(0, 10, 32)","(0, 11, 0)"
"(0, 11, 12)","(0, 11, 17)"
"(0, 11, 43)","(0, 12, 22)"
"(0, 13, 52)","(0, 14, 3)"
"(0, 14, 47)","(0, 15, 29)"
"(0, 16, 48)","(0, 17, 53)"
"(0, 19, 50)","(0, 20, 21)"
"(0, 20, 47)","(0, 21, 0)"
"(0, 22, 53)","(0, 23, 14)"
"(0, 24, 19)","(0, 24, 26)"
"(0, 26, 8)","(0, 26, 20)"
"(0, 26, 57)","(0, 27, 24)"
"(0, 28, 20)","(0, 28, 58)"
"(0, 29, 32)","(0, 29, 48)"
"(0, 31, 33)","(0, 32, 51)"
"(0, 33, 18)","(0, 35, 15)"
"(0, 35, 26)","(0, 37, 39)"
"(0, 37, 58)","(0, 39, 7)"
"(0, 3, 58)","(0, 3, 58)"
