start,end
"(0, 1, 25)","(0, 1, 34)"
"(0, 2, 38)","(0, 2, 51)"
"(0, 4, 59)","(0, 8, 39)"
"(0, 9, 11)","(0, 9, 32)"
"(0, 11, 27)","(0, 11, 44)"
"(0, 15, 30)","(0, 15, 36)"
"(0, 21, 34)","(0, 21, 44)"
"(0, 21, 52)","(0, 21, 59)"
"(0, 22, 45)","(0, 22, 57)"
"(0, 23, 58)","(0, 24, 27)"
"(0, 24, 35)","(0, 24, 59)"
"(0, 25, 36)","(0, 26, 23)"
"(0, 26, 40)","(0, 26, 50)"
"(0, 27, 51)","(0, 27, 55)"
"(0, 28, 52)","(0, 28, 56)"
"(0, 29, 8)","(0, 29, 12)"
"(0, 30, 28)","(0, 31, 26)"
"(0, 32, 38)","(0, 33, 0)"
"(0, 37, 11)","(0, 40, 16)"
"(0, 40, 52)","(0, 45, 41)"
"(0, 46, 7)","(0, 51, 4)"
"(0, 0, 13)","(0, 0, 13)"
