start,end
"(0, 13, 10)","(0, 13, 14)"
"(0, 14, 1)","(0, 14, 21)"
"(0, 16, 11)","(0, 16, 14)"
"(0, 17, 31)","(0, 17, 39)"
"(0, 18, 1)","(0, 18, 15)"
"(0, 21, 16)","(0, 21, 46)"
"(0, 30, 21)","(0, 30, 35)"
"(0, 30, 53)","(0, 31, 19)"
"(0, 32, 8)","(0, 32, 30)"
"(0, 35, 1)","(0, 35, 3)"
"(0, 36, 11)","(0, 36, 18)"
"(0, 36, 55)","(0, 37, 23)"
"(0, 37, 40)","(0, 38, 20)"
"(0, 40, 24)","(0, 45, 4)"
"(0, 45, 26)","(0, 49, 41)"
"(0, 49, 55)","(0, 52, 53)"
"(0, 53, 28)","(0, 55, 52)"
"(0, 10, 26)","(0, 10, 26)"
