start,end
"(0, 0, 49)","(0, 1, 22)"
"(0, 2, 4)","(0, 2, 18)"
"(0, 4, 11)","(0, 4, 26)"
"(0, 5, 14)","(0, 5, 47)"
"(0, 7, 35)","(0, 7, 48)"
"(0, 9, 11)","(0, 9, 30)"
"(0, 9, 41)","(0, 9, 48)"
"(0, 12, 35)","(0, 12, 37)"
"(0, 12, 46)","(0, 14, 5)"
"(0, 14, 59)","(0, 15, 6)"
"(0, 15, 28)","(0, 15, 50)"
"(0, 20, 20)","(0, 20, 41)"
"(0, 22, 27)","(0, 23, 14)"
"(0, 25, 13)","(0, 25, 33)"
"(0, 25, 50)","(0, 26, 5)"
"(0, 27, 49)","(0, 28, 41)"
"(0, 30, 38)","(0, 31, 23)"
"(0, 32, 18)","(0, 32, 24)"
"(0, 36, 36)","(0, 40, 39)"
"(0, 41, 2)","(0, 44, 19)"
"(0, 44, 36)","(0, 50, 43)"
"(0, 50, 50)","(0, 51, 42)"
"(0, 0, 29)","(0, 0, 29)"
