start,end
"(0, 12, 41)","(0, 12, 51)"
"(0, 13, 34)","(0, 13, 46)"
"(0, 14, 10)","(0, 14, 19)"
"(0, 15, 48)","(0, 15, 50)"
"(0, 16, 12)","(0, 16, 32)"
"(0, 17, 20)","(0, 17, 30)"
"(0, 18, 7)","(0, 18, 15)"
"(0, 19, 41)","(0, 19, 51)"
"(0, 22, 37)","(0, 22, 47)"
"(0, 24, 43)","(0, 24, 55)"
"(0, 25, 59)","(0, 26, 17)"
"(0, 28, 37)","(0, 28, 56)"
"(0, 30, 30)","(0, 30, 37)"
"(0, 30, 49)","(0, 30, 55)"
"(0, 31, 40)","(0, 31, 46)"
"(0, 32, 4)","(0, 32, 42)"
"(0, 32, 59)","(0, 33, 4)"
"(0, 33, 44)","(0, 34, 1)"
"(0, 34, 35)","(0, 34, 48)"
"(0, 36, 2)","(0, 36, 7)"
"(0, 36, 46)","(0, 37, 13)"
"(0, 39, 32)","(0, 41, 54)"
"(0, 42, 3)","(0, 46, 31)"
"(0, 46, 37)","(0, 49, 36)"
"(0, 49, 44)","(0, 52, 44)"
"(0, 11, 55)","(0, 11, 56)"
