start,end
"(0, 1, 3)","(0, 1, 17)"
"(0, 1, 38)","(0, 1, 50)"
"(0, 2, 7)","(0, 2, 28)"
"(0, 2, 43)","(0, 2, 56)"
"(0, 3, 46)","(0, 4, 21)"
"(0, 4, 33)","(0, 4, 43)"
"(0, 7, 35)","(0, 7, 55)"
"(0, 8, 13)","(0, 8, 34)"
"(0, 9, 54)","(0, 10, 11)"
"(0, 10, 49)","(0, 11, 8)"
"(0, 14, 20)","(0, 14, 52)"
"(0, 15, 50)","(0, 16, 43)"
"(0, 18, 41)","(0, 19, 21)"
"(0, 20, 9)","(0, 20, 32)"
"(0, 21, 27)","(0, 21, 40)"
"(0, 22, 35)","(0, 23, 44)"
"(0, 24, 6)","(0, 24, 30)"
"(0, 26, 52)","(0, 27, 17)"
"(0, 28, 38)","(0, 33, 18)"
"(0, 33, 34)","(0, 36, 32)"
"(0, 36, 48)","(0, 39, 13)"
"(0, 39, 25)","(0, 43, 34)"
"(0, 0, 41)","(0, 0, 41)"
